id,transaction_hash,from_address,to_address,amount,dex,function_called,block_number,timestamp
9590,0x9dc93a38208f68216df6349f9c3943121ef08f655fbdde795fe0e5d88ce314a6,0xa327639F0285a19D872a9b7971cFe2d41505EdB9,0x015B96160687614E76BF038d507DFf2e683C2AC4,100000,"Trader Joe","Add Liquidity",52829363,2024-11-08T23:38:36.000Z
9589,0x83379affcabfd3dc6ad6891dd4fae50bd4aa96d79befe0577ba79280cf8812a6,0xc010A798F9eED73395A9C72520298ba33a48a2B7,0x453e807cE1e28F5e60162E0fa031B702eEeD7b81,30562.608670410224,"Trader Joe","Swap AVAX For Arena",52829342,2024-11-08T23:37:54.000Z
9588,0xdf46a3a36ad01ba8c0e1e7eb350e9871767a93c3d2962bfa6ccd13d6716f8734,0xc010A798F9eED73395A9C72520298ba33a48a2B7,0xe5bA3Ff53E72c7d57Ae51bC90eE67f08997DA00A,12772.883771023437,"Trader Joe","Swap AVAX For Arena",52829295,2024-11-08T23:36:14.000Z
9587,0x4a5af1af3f415d7e4b3f7e94ef35c4c5386279be68a63df742e65d7e3d58115b,0xc010A798F9eED73395A9C72520298ba33a48a2B7,0xe458ca2D2eE3b314cC6A3F041C20d35cEC639Cbf,7102.0915352603615,"Trader Joe","Swap AVAX For Arena",52829282,2024-11-08T23:35:45.000Z
9586,0xc0b16c5fe854b9556eb90e2e8bcf9107afcfd7b7780eacfd1a322036880b39de,0x015B96160687614E76BF038d507DFf2e683C2AC4,0x7276AC358B323d364E0eaBa6C9d577A36782d38A,219192.77261529057,"Trader Joe","Swap AVAX For Arena",52829206,2024-11-08T23:33:03.000Z
9585,0xa9fbb34560f4e35ab8b33303894f78e5f06824f4c36d96ca8c8b0919ad5f6081,0x58Edb22250342876fb018f742b0543Cc82CC510B,0x015B96160687614E76BF038d507DFf2e683C2AC4,6000,"Trader Joe","Swap Arena for AVAX",52829176,2024-11-08T23:32:01.000Z
9584,0x2dc860ffbe54eea766e8d81e93d69c5574338e971187dadb68ce49c96835f3e1,0x58Edb22250342876fb018f742b0543Cc82CC510B,0x015B96160687614E76BF038d507DFf2e683C2AC4,7000,"Trader Joe","Swap Arena for AVAX",52829157,2024-11-08T23:31:23.000Z
9583,0x76c17ca4347123856d5fc2acdebe3d5d955ae604e2ca50e969d88c1ab2fcf809,0x58Edb22250342876fb018f742b0543Cc82CC510B,0x015B96160687614E76BF038d507DFf2e683C2AC4,1464.3426444000427,"Trader Joe","Swap Arena for AVAX",52829145,2024-11-08T23:30:56.000Z
9582,0xc1a1d17239e18c387b7e490d8c8eef039fb16b402c606563340e7bfe32367cc7,0x087352fAed67aaB4994968e6566B8B975AFBfd23,0x015B96160687614E76BF038d507DFf2e683C2AC4,45000,"Trader Joe","Swap Arena for AVAX",52828410,2024-11-08T23:05:47.000Z
9581,0xfcc02c7aedb3a46e45b741a5444ea10ede66d257256f5f71ef8b357af913e228,0x7FA6013f882d16baE181c9DD653426a22b1Ad6Eb,0x015B96160687614E76BF038d507DFf2e683C2AC4,10000,"Trader Joe","Swap Arena for AVAX",52828339,2024-11-08T23:03:18.000Z
9580,0x5b81f8b8daeb1f544518f0f887a8c792912c8b903292cb3376eaf417c6e169fe,0xF835925589ac11Df66690b3aa343De649f38cd83,0x015B96160687614E76BF038d507DFf2e683C2AC4,0.01,"Trader Joe","Add Liquidity",52828109,2024-11-08T22:55:14.000Z
9579,0xf41955066e54d20434efec319c3394407c47a4877d4b1ab29f445373af7cc936,0xF835925589ac11Df66690b3aa343De649f38cd83,0x015B96160687614E76BF038d507DFf2e683C2AC4,0.01,"Trader Joe","Add Liquidity",52827900,2024-11-08T22:48:07.000Z
9578,0x2ea263b13c128de36d45a78d07e01dad5b0191667f483ba223b9321318d85b66,0x015B96160687614E76BF038d507DFf2e683C2AC4,0xaC3d21f560B9029FDcB4F198228879b9eE67c0D5,20932.09529754922,"Trader Joe","Swap Tokens For ARENA",52827864,2024-11-08T22:46:52.000Z
9577,0x3c47bbce6379e112b7a9e777db62b3d8e8356f316c36ad44eb46e5b66b5326a3,0x533daE2922C5Aa07eB2eA2146F63BbDd4A61c2d3,0xc010A798F9eED73395A9C72520298ba33a48a2B7,420.51773643318825,"Trader Joe","Swap Arena for AVAX",52827856,2024-11-08T22:46:36.000Z
9576,0xb37a545c3466be8785a52cc0a842074d2982b8800513736623a606391276b3dc,0x61d93b98A705C706B178C7641095C47c7B4A8358,0xc010A798F9eED73395A9C72520298ba33a48a2B7,10000,"Trader Joe","Swap Arena for AVAX",52827567,2024-11-08T22:36:42.000Z
